TR	RelativeTime	Datetime	Description
1	2.0025421	10-Mar-2025 17:45:12	SimTR
2	4.0007833	10-Mar-2025 17:45:14	SimTR
3	6.0023953	10-Mar-2025 17:45:16	SimTR
4	8.0001516	10-Mar-2025 17:45:18	SimTR
5	10.0016782	10-Mar-2025 17:45:20	SimTR
6	12.0001661	10-Mar-2025 17:45:22	SimTR
7	14.0002014	10-Mar-2025 17:45:24	SimTR
8	16.000318	10-Mar-2025 17:45:26	SimTR
9	18.0001837	10-Mar-2025 17:45:28	SimTR
10	20.0001653	10-Mar-2025 17:45:30	SimTR
11	22.0002178	10-Mar-2025 17:45:32	SimTR
12	24.0002469	10-Mar-2025 17:45:34	SimTR
13	26.0001709	10-Mar-2025 17:45:36	SimTR
14	28.0001779	10-Mar-2025 17:45:38	SimTR
15	30.0002427	10-Mar-2025 17:45:40	SimTR
16	32.0002329	10-Mar-2025 17:45:42	SimTR
17	34.0001324	10-Mar-2025 17:45:44	SimTR
18	36.0001107	10-Mar-2025 17:45:46	SimTR
19	38.000218	10-Mar-2025 17:45:48	SimTR
20	40.0002485	10-Mar-2025 17:45:50	SimTR
21	42.0001304	10-Mar-2025 17:45:52	SimTR
22	44.000153	10-Mar-2025 17:45:54	SimTR
23	46.0009375	10-Mar-2025 17:45:56	SimTR
24	48.0002132	10-Mar-2025 17:45:58	SimTR
25	50.0001619	10-Mar-2025 17:46:00	SimTR
26	52.0002951	10-Mar-2025 17:46:02	SimTR
27	54.0002181	10-Mar-2025 17:46:04	SimTR
28	56.00021	10-Mar-2025 17:46:06	SimTR
29	58.000222	10-Mar-2025 17:46:08	SimTR
30	60.0001528	10-Mar-2025 17:46:10	SimTR
31	62.0001624	10-Mar-2025 17:46:12	SimTR
32	64.0001413	10-Mar-2025 17:46:14	SimTR
