TR	RelativeTime	Datetime	Description
0	1.9992859	23-Jan-2025 12:44:34	TrueTR
1	2.0322302	23-Jan-2025 12:44:34	SimTR
1	3.9992678	23-Jan-2025 12:44:36	TrueTR
2	4.0321525	23-Jan-2025 12:44:36	SimTR
2	5.9996031	23-Jan-2025 12:44:38	TrueTR
3	6.0323152	23-Jan-2025 12:44:38	SimTR
4	8.0020814	23-Jan-2025 12:44:40	SimTR
3	8.003554	23-Jan-2025 12:44:40	TrueTR
4	9.9998261	23-Jan-2025 12:44:42	TrueTR
5	10.0326522	23-Jan-2025 12:44:42	SimTR
5	11.9998651	23-Jan-2025 12:44:44	TrueTR
6	12.0329239	23-Jan-2025 12:44:44	SimTR
6	14.0000706	23-Jan-2025 12:44:46	TrueTR
7	14.033952	23-Jan-2025 12:44:46	SimTR
7	15.9994688	23-Jan-2025 12:44:48	TrueTR
8	16.0324684	23-Jan-2025 12:44:48	SimTR
8	17.9994555	23-Jan-2025 12:44:50	TrueTR
9	18.0329543	23-Jan-2025 12:44:50	SimTR
9	19.9998143	23-Jan-2025 12:44:52	TrueTR
10	20.0332659	23-Jan-2025 12:44:52	SimTR
11	22.0008778	23-Jan-2025 12:44:54	SimTR
10	22.0020149	23-Jan-2025 12:44:54	TrueTR
12	24.0000658	23-Jan-2025 12:44:56	SimTR
11	25.996531	23-Jan-2025 12:44:58	TrueTR
13	26.0000606	23-Jan-2025 12:44:58	SimTR
12	27.9961225	23-Jan-2025 12:45:00	TrueTR
14	28.0002547	23-Jan-2025 12:45:00	SimTR
13	29.9930817	23-Jan-2025 12:45:02	TrueTR
15	30.0000448	23-Jan-2025 12:45:02	SimTR
14	31.9960703	23-Jan-2025 12:45:04	TrueTR
16	32.0000735	23-Jan-2025 12:45:04	SimTR
17	34.0164575	23-Jan-2025 12:45:06	SimTR
15	34.017638	23-Jan-2025 12:45:06	TrueTR
18	36.0165859	23-Jan-2025 12:45:08	SimTR
16	36.0181799	23-Jan-2025 12:45:08	TrueTR
19	38.0164984	23-Jan-2025 12:45:10	SimTR
17	38.0177071	23-Jan-2025 12:45:10	TrueTR
20	40.0165284	23-Jan-2025 12:45:12	SimTR
18	40.0176248	23-Jan-2025 12:45:12	TrueTR
21	42.0170202	23-Jan-2025 12:45:14	SimTR
19	42.0186852	23-Jan-2025 12:45:14	TrueTR
22	44.0166771	23-Jan-2025 12:45:16	SimTR
20	44.0177427	23-Jan-2025 12:45:16	TrueTR
23	46.0175806	23-Jan-2025 12:45:18	SimTR
21	46.019151	23-Jan-2025 12:45:18	TrueTR
24	48.0180097	23-Jan-2025 12:45:20	SimTR
22	48.0192194	23-Jan-2025 12:45:20	TrueTR
25	50.0170039	23-Jan-2025 12:45:22	SimTR
23	50.0181951	23-Jan-2025 12:45:22	TrueTR
26	52.0181539	23-Jan-2025 12:45:24	SimTR
