TR	RelativeTime	Datetime	Description
1	2.0003874	23-Jan-2025 12:24:48	SimTR
2	4.0015333	23-Jan-2025 12:24:50	SimTR
3	6.0026324	23-Jan-2025 12:24:52	SimTR
4	8.0030882	23-Jan-2025 12:24:54	SimTR
5	10.0025525	23-Jan-2025 12:24:56	SimTR
6	12.0025105	23-Jan-2025 12:24:58	SimTR
7	14.0021977	23-Jan-2025 12:25:00	SimTR
8	16.0031549	23-Jan-2025 12:25:02	SimTR
9	18.0339833	23-Jan-2025 12:25:04	SimTR
10	20.0005755	23-Jan-2025 12:25:06	SimTR
11	22.017345	23-Jan-2025 12:25:08	SimTR
12	24.0001661	23-Jan-2025 12:25:10	SimTR
13	26.000073	23-Jan-2025 12:25:12	SimTR
14	28.0001426	23-Jan-2025 12:25:14	SimTR
15	30.0000512	23-Jan-2025 12:25:16	SimTR
16	32.0000819	23-Jan-2025 12:25:18	SimTR
17	34.0011557	23-Jan-2025 12:25:20	SimTR
18	36.0010677	23-Jan-2025 12:25:22	SimTR
19	38.0011913	23-Jan-2025 12:25:24	SimTR
20	40.0037821	23-Jan-2025 12:25:26	SimTR
21	42.0033984	23-Jan-2025 12:25:28	SimTR
22	44.003235	23-Jan-2025 12:25:30	SimTR
23	46.0023331	23-Jan-2025 12:25:32	SimTR
24	48.0347627	23-Jan-2025 12:25:34	SimTR
25	50.0036698	23-Jan-2025 12:25:36	SimTR
26	52.0036022	23-Jan-2025 12:25:38	SimTR
27	54.000029	23-Jan-2025 12:25:40	SimTR
28	56.0000871	23-Jan-2025 12:25:42	SimTR
29	58.0000388	23-Jan-2025 12:25:44	SimTR
30	60.000066	23-Jan-2025 12:25:46	SimTR
31	62.0000429	23-Jan-2025 12:25:48	SimTR
32	64.0021572	23-Jan-2025 12:25:50	SimTR
33	66.0022117	23-Jan-2025 12:25:52	SimTR
34	68.0022371	23-Jan-2025 12:25:54	SimTR
35	70.0021209	23-Jan-2025 12:25:56	SimTR
36	72.0038588	23-Jan-2025 12:25:58	SimTR
37	74.0045657	23-Jan-2025 12:26:00	SimTR
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
