sub	run	valence	rt_valence	arousal	rt_arousal	stimulus
SRM001	1	1	2.7980508	NaN	NaN	D2_video.avi
SRM001	1	1	0.0005038	NaN	NaN	A27_video.avi
SRM001	1	1	0.0004429	NaN	NaN	B17_video.avi
SRM001	1	1	0.0006192	NaN	NaN	A24_video.avi
SRM001	1	1	0.0004498	NaN	NaN	C13_video.avi
SRM001	1	1	0.0003709	NaN	NaN	A16_video.avi
SRM001	1	1	0.0004111	NaN	NaN	D3_video.avi
SRM001	1	1	0.0004763	NaN	NaN	B12_video.avi
SRM001	1	1	0.0004814	NaN	NaN	A9_video.avi
SRM001	1	1	0.000398	NaN	NaN	B6_video.avi
SRM001	1	1	0.0006089	NaN	NaN	C17_video.avi
SRM001	1	2	1.9265737	NaN	NaN	B10_video.avi
SRM001	1	2	0.0003508	NaN	NaN	D7_video.avi
SRM001	1	2	0.0004344	NaN	NaN	B7_video.avi
SRM001	1	2	0.0004829	NaN	NaN	B2_video.avi
SRM001	1	2	0.0003668	NaN	NaN	A26_video.avi
SRM001	1	2	0.0003495	NaN	NaN	B30_video.avi
SRM001	1	2	31.2130142	NaN	NaN	A1_video.avi
SRM001	1	2	0.6154853	NaN	NaN	C18_video.avi
SRM001	1	2	0.0003635	NaN	NaN	D18_video.avi
