sub	run	valence	rt_valence	arousal	rt_arousal	stimulus
SRM002	2	4	0.5023916	2	0.5921767	A3_video.avi
SRM002	2	2	0.4779965	4	0.5686791	D21_video.avi
SRM002	2	4	0.6747462	3	0.5184121	B12_video.avi
SRM002	2	4	0.603525	2	0.4672133	B7_video.avi
SRM002	2	4	0.6691508	1	1.4709227	A7_video.avi
SRM002	2	2	0.735536	3	0.4581777	C26_video.avi
SRM002	2	4	0.6029974	4	0.4912612	B10_video.avi
SRM002	2	3	0.4985238	3	0.8821983	C27_video.avi
SRM002	2	1	0.6621239	2	0.4678197	C8_video.avi
SRM002	2	3	0.5079471	2	0.4400009	C9_video.avi
SRM002	2	4	0.5334667	2	0.4271301	B30_video.avi
SRM002	2	4	1.7684854	2	0.7894411	A24_video.avi
SRM002	2	4	1.3928808	2	1.9003425	A9_video.avi
SRM002	2	2	1.1960952	4	0.9330036	D2_video.avi
SRM002	2	4	0.6885903	1	0.6969027	A27_video.avi
SRM002	2	3	1.1672141	4	1.1285968	D26_video.avi
SRM002	2	1	0.6720757	3	1.3842753	C13_video.avi
SRM002	2	2	0.7079513	4	0.493685	D7_video.avi
SRM002	2	4	1.3808205	2	0.7982538	A22_video.avi
SRM002	2	4	0.5556232	3	0.4683997	B2_video.avi
