TR	RelativeTime	Datetime	Description
1	2.0223135	29-Jan-2025 16:54:48	SimTR
0	2.0286461	29-Jan-2025 16:54:48	TrueTR
2	4.0225095	29-Jan-2025 16:54:50	SimTR
1	4.0246495	29-Jan-2025 16:54:50	TrueTR
3	6.0222387	29-Jan-2025 16:54:52	SimTR
2	6.0237205	29-Jan-2025 16:54:52	TrueTR
4	8.0222779	29-Jan-2025 16:54:54	SimTR
3	8.023903	29-Jan-2025 16:54:54	TrueTR
4	9.9894708	29-Jan-2025 16:54:56	TrueTR
5	10.0224632	29-Jan-2025 16:54:56	SimTR
5	11.9893326	29-Jan-2025 16:54:58	TrueTR
6	12.0227787	29-Jan-2025 16:54:58	SimTR
6	13.989413	29-Jan-2025 16:55:00	TrueTR
7	14.0227567	29-Jan-2025 16:55:00	SimTR
7	15.9894089	29-Jan-2025 16:55:02	TrueTR
8	16.0225833	29-Jan-2025 16:55:02	SimTR
9	18.0226258	29-Jan-2025 16:55:04	SimTR
8	18.0240943	29-Jan-2025 16:55:04	TrueTR
10	20.0227306	29-Jan-2025 16:55:06	SimTR
9	20.0241157	29-Jan-2025 16:55:06	TrueTR
11	22.0228888	29-Jan-2025 16:55:08	SimTR
10	22.0242292	29-Jan-2025 16:55:08	TrueTR
12	24.0002078	29-Jan-2025 16:55:10	SimTR
11	25.9890133	29-Jan-2025 16:55:12	TrueTR
13	26.0001475	29-Jan-2025 16:55:12	SimTR
14	28.0001855	29-Jan-2025 16:55:14	SimTR
12	29.9869948	29-Jan-2025 16:55:16	TrueTR
15	30.0001629	29-Jan-2025 16:55:16	SimTR
13	31.9831462	29-Jan-2025 16:55:18	TrueTR
16	32.0001154	29-Jan-2025 16:55:18	SimTR
17	34.02303	29-Jan-2025 16:55:20	SimTR
14	34.0249672	29-Jan-2025 16:55:20	TrueTR
18	36.0247399	29-Jan-2025 16:55:22	SimTR
15	36.0261662	29-Jan-2025 16:55:22	TrueTR
19	38.0272458	29-Jan-2025 16:55:24	SimTR
16	38.0287773	29-Jan-2025 16:55:24	TrueTR
20	40.0256456	29-Jan-2025 16:55:26	SimTR
17	40.0269942	29-Jan-2025 16:55:26	TrueTR
18	41.9930273	29-Jan-2025 16:55:28	TrueTR
