TR	RelativeTime	Datetime	Description
0	0.0021869	29-Jan-2025 16:28:21	TrueTR
1	3.8212374	29-Jan-2025 16:28:24	TrueTR
1	4.0191001	29-Jan-2025 16:28:25	SimTR
2	5.0207368	29-Jan-2025 16:28:26	TrueTR
2	6.0196991	29-Jan-2025 16:28:27	SimTR
3	7.5409137	29-Jan-2025 16:28:28	TrueTR
3	8.0368032	29-Jan-2025 16:28:29	SimTR
4	10.0511208	29-Jan-2025 16:28:31	SimTR
4	10.0562689	29-Jan-2025 16:28:31	TrueTR
5	12.0051119	29-Jan-2025 16:28:33	SimTR
5	12.5400432	29-Jan-2025 16:28:33	TrueTR
6	14.0394325	29-Jan-2025 16:28:35	SimTR
6	15.0214937	29-Jan-2025 16:28:36	TrueTR
7	15.0726726	29-Jan-2025 16:28:36	TrueTR
7	16.0204369	29-Jan-2025 16:28:37	SimTR
8	17.5398979	29-Jan-2025 16:28:38	TrueTR
8	18.020531	29-Jan-2025 16:28:39	SimTR
9	20.0215324	29-Jan-2025 16:28:41	SimTR
9	20.0230607	29-Jan-2025 16:28:41	TrueTR
10	20.0711206	29-Jan-2025 16:28:41	TrueTR
10	22.0391705	29-Jan-2025 16:28:43	SimTR
11	22.5393845	29-Jan-2025 16:28:43	TrueTR
12	22.5559643	29-Jan-2025 16:28:43	TrueTR
11	24.0207831	29-Jan-2025 16:28:45	SimTR
13	25.0259578	29-Jan-2025 16:28:46	TrueTR
12	26.0020443	29-Jan-2025 16:28:47	SimTR
14	27.5152496	29-Jan-2025 16:28:48	TrueTR
15	27.5495624	29-Jan-2025 16:28:48	TrueTR
13	28.00001	29-Jan-2025 16:28:49	SimTR
14	30.0000415	29-Jan-2025 16:28:51	SimTR
16	30.0428659	29-Jan-2025 16:28:51	TrueTR
17	30.0586093	29-Jan-2025 16:28:51	TrueTR
15	32.000105	29-Jan-2025 16:28:53	SimTR
18	32.5383339	29-Jan-2025 16:28:53	TrueTR
19	32.5520616	29-Jan-2025 16:28:53	TrueTR
16	34.0000544	29-Jan-2025 16:28:55	SimTR
17	36.4229828	29-Jan-2025 16:28:57	SimTR
20	36.4242692	29-Jan-2025 16:28:57	TrueTR
21	37.5369526	29-Jan-2025 16:28:58	TrueTR
22	37.5700595	29-Jan-2025 16:28:58	TrueTR
18	38.0031319	29-Jan-2025 16:28:59	SimTR
19	40.0031373	29-Jan-2025 16:29:01	SimTR
23	40.0372254	29-Jan-2025 16:29:01	TrueTR
24	40.0702205	29-Jan-2025 16:29:01	TrueTR
20	42.0032713	29-Jan-2025 16:29:03	SimTR
25	42.5366337	29-Jan-2025 16:29:03	TrueTR
26	42.5700538	29-Jan-2025 16:29:03	TrueTR
21	44.0049623	29-Jan-2025 16:29:05	SimTR
27	45.0381134	29-Jan-2025 16:29:06	TrueTR
28	45.072979	29-Jan-2025 16:29:06	TrueTR
22	46.0043996	29-Jan-2025 16:29:07	SimTR
29	47.5381859	29-Jan-2025 16:29:08	TrueTR
30	47.571887	29-Jan-2025 16:29:08	TrueTR
23	48.0038595	29-Jan-2025 16:29:09	SimTR
24	50.0036428	29-Jan-2025 16:29:11	SimTR
31	50.0706482	29-Jan-2025 16:29:11	TrueTR
25	52.0034826	29-Jan-2025 16:29:13	SimTR
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
0	0	NaT	
