sub	run	valence	rt_valence	arousal	rt_arousal	stimulus
SRM002	1	4	2.4171335	3	3.919308	C27_video.avi
SRM002	1	2	0.7316373	2	2.1767988	D15_video.avi
SRM002	1	4	1.5617971	4	1.2836872	A27_video.avi
SRM002	1	1	1.501291	3	1.5478026	D17_video.avi
SRM002	1	2	1.8039086	2	1.5239492	B30_video.avi
SRM002	1	4	1.3552396	3	1.2191848	A26_video.avi
SRM002	1	3	1.4895565	3	1.0703535	B11_video.avi
SRM002	1	2	0.9360582	2	0.456344	B2_video.avi
SRM002	1	1	0.7341161	3	2.4387102	D2_video.avi
SRM002	1	1	0.7813218	2	0.8401163	D5_video.avi
SRM002	1	3	1.2481851	2	1.8642603	A7_video.avi
SRM002	1	1	0.4874466	2	1.2280981	D7_video.avi
SRM002	1	2	2.2702174	4	0.935267	D27_video.avi
SRM002	1	2	0.7611272	2	0.559499	B29_video.avi
SRM002	1	1	1.6869909	2	1.0891147	C26_video.avi
SRM002	1	4	0.4692489	4	0.3915427	A3_video.avi
SRM002	1	3	0.7200897	4	2.3588503	B18_video.avi
SRM002	1	1	1.3820778	2	1.1415446	D18_video.avi
SRM002	1	1	1.4086454	3	1.0832663	C22_video.avi
SRM002	1	1	0.7902623	3	1.4914809	D3_video.avi
